Quantity,Price,Country,Description,Review,sentiment,sentiment_score,risk_level,customer_segment,churn_risk,satisfaction_score
8,2.33,United Kingdom,"Children's Story Books, Assorted Titles",Great children's books! Bought 8 titles at $2.33 each. My kids love them. Engaging stories and colorful illustrations. Fantastic value.,positive,0.9,low,budget_conscious,low,5
-1,1.23,Belgium,Returned Item: Small Hand Sanitizer,"This record indicates a return. The hand sanitizer, originally $1.23, was returned. Process was smooth and hassle-free. Good customer service.",negative,-0.4,high,return_prone,medium,2
9,11.88,Australia,"Premium Skincare Facial Masks, 9-pack",Love these facial masks! Bought 9 packs at $11.88 each. My skin feels refreshed and smooth. A definite must-have for skincare.,positive,0.9,low,premium,low,5
-1,4.52,France,Refund for damaged artisanal soap bar,Received a refund for the soap bar priced at $4.52. It arrived broken. Customer service was quick and helpful!,neutral,0.1,high,return_prone,medium,3
7,23.22,Germany,"Premium Organic Coffee Beans, 1lb bag","Bought 7 bags for $23.22 each. The coffee is rich and flavorful, a perfect start to my day. Will buy again!",positive,0.9,low,premium,low,5
10,0.71,United Kingdom,"Assorted vibrant paper clips, 100-pack",Great value! Got 10 packs of paper clips for only $0.71 each. They are colorful and sturdy.,positive,0.8,low,budget_conscious,low,4
14,1.54,EIRE,Individual packets of instant oatmeal,Purchased 14 packets at $1.54 each. Perfect for quick breakfasts on busy mornings. Good variety of flavors too.,positive,0.8,low,bulk_buyer,low,4
18,1.61,EIRE,Small decorative succulent plant pot,I bought 18 of these cute pots for $1.61 each for party favors. They're tiny but well-made. Everyone loved them!,positive,0.9,low,bulk_buyer,low,5
12,5.25,Australia,"Ergonomic gel-ink pen, black, 0.5mm",These pens are fantastic! I ordered 12 at $5.25 apiece. They write smoothly and are very comfortable for long sessions.,positive,0.9,low,bulk_buyer,low,5
1,0.81,Channel Islands,"Single AAA alkaline battery, long life","Just needed one battery for $0.81. It works as expected. Nothing fancy, but it gets the job done.",neutral,0.1,low,impulse_buyer,low,3
14,1.49,Switzerland,Reusable grocery produce mesh bag set,"I got 14 of these bags for $1.49 each. They are perfect for fruits and veggies, very durable and eco-friendly.",positive,0.8,low,bulk_buyer,low,4
14,1.86,Greece,Gourmet dark chocolate bar with sea salt,Ordered 14 bars at $1.86 each. The chocolate is rich and the sea salt adds a nice touch. Highly recommend this treat!,positive,0.9,low,premium,low,5
11,7.41,Portugal,"Lavender essential oil, 10ml bottle",Purchased 11 bottles for $7.41 each. The scent is calming and authentic. Great for diffusers and relaxation.,positive,0.8,low,bulk_buyer,low,4
123,4.94,RSA,Bulk pack of durable plastic clothes pegs,"Got 123 pegs for $4.94 each! A bit pricey for pegs, but they are incredibly strong and hold up well in windy conditions.",positive,0.6,medium,bulk_buyer,medium,4
1,10.53,Spain,"High-speed USB-C charging cable, 6ft",Only bought one for $10.53. It charges my phone super fast and feels very robust. Definitely worth the price!,positive,0.9,low,premium,low,5
14,0.91,Germany,"Small craft adhesive glue stick, clear",Excellent for school projects! Picked up 14 sticks at $0.91 apiece. They dry clear and hold well on paper.,positive,0.8,low,bulk_buyer,low,4
14,1.19,Malta,"Colorful sticky notes, 3x3 inch pads",Stocked up with 14 pads for $1.19 each. The colors are vibrant and they stick perfectly without leaving residue.,positive,0.8,low,bulk_buyer,low,4
103,0.62,Greece,Bulk pack of wooden coffee stir sticks,Amazing deal! Got 103 packs of stir sticks for $0.62 each. Perfect for the office coffee station. Biodegradable too.,positive,0.9,low,bulk_buyer,low,5
14,5.6,Bahrain,"Artistic watercolor paint tube, cobalt","I purchased 14 tubes of paint at $5.60 each. The pigment is rich and vibrant, great for my art projects. Very pleased!",positive,0.9,low,bulk_buyer,low,5
3,1.87,France,"Soft microfiber cleaning cloth, 3-pack",Bought 3 packs for $1.87 each. These cloths are excellent for cleaning screens and glasses without streaks. Very absorbent.,positive,0.8,low,budget_conscious,low,4
7,4.81,EIRE,"Classic novel paperback edition, fiction",Got 7 books for $4.81 each. A great selection of classics to add to my library. The print is clear and easy to read.,positive,0.8,low,bulk_buyer,low,4
11,9.45,Germany,"Premium pet chew toy, durable rubber",My dog loves these! Bought 11 toys for $9.45 each. They are incredibly durable and keep him entertained for hours. Highly recommend.,positive,0.9,low,premium,low,5
6,0.74,United Kingdom,Small packet of organic herb seeds,Purchased 6 packets for $0.74 each. The seeds sprouted quickly and are growing well. Excited for fresh herbs!,positive,0.8,low,budget_conscious,low,4
6,12.86,Belgium,"Premium Organic Coffee Beans, 1lb Bag","Bought 6 bags of coffee at $12.86 each. Rich aroma, smooth taste. A fantastic morning essential, highly recommend this blend.",positive,0.9,low,premium,low,5
105,1.51,France,"Bulk Pack Paper Napkins, 500-count","Ordered 105 packs of napkins at $1.51 each for my event. Great value and quality. Perfect for gatherings, will repurchase.",positive,0.85,low,bulk_buyer,low,5
4,5.83,France,Stainless Steel Insulated Water Bottle,"Got 4 water bottles, each $5.83. Keeps drinks cold for hours, very durable. Perfect for daily use and eco-friendly choice.",positive,0.8,low,budget_conscious,low,5
140,5.56,Norway,"Assorted Color Ballpoint Pens, Box of 10","Purchased 140 boxes of pens at $5.56 per box for the office. They write smoothly. Excellent for bulk purchase, great value.",positive,0.85,low,bulk_buyer,low,5
-4,2.09,Portugal,"RETURNED: USB-C Charging Cable, 3ft","Returned 4 USB-C cables, each $2.09. They didn't work with my device. Disappointing, but the return process was very smooth.",negative,-0.7,high,return_prone,medium,1
16,3.03,Germany,"Kids' Craft Glitter Glue Set, 12 colors",My kids love this glitter glue! We bought 16 sets at $3.03 each. Provides hours of creative fun. Great buy for art projects.,positive,0.85,low,bulk_buyer,low,5
10,16.59,EIRE,Wireless Bluetooth Earbuds with Charging Case,Grabbed 10 pairs of earbuds at $16.59 each for gifts. Sound quality is good for the price. Comfortable fit and decent battery.,positive,0.7,low,bulk_buyer,low,4
3,0.47,Denmark,Small Packet of Assorted Hard Candy,Just bought 3 small packets of candy for $0.47 each. A nice little treat for a very low price. My kids loved them instantly.,positive,0.75,low,impulse_buyer,low,4
4,1.53,Norway,Miniature Ceramic Succulent Plant Pot,"These 4 succulent pots, at $1.53 each, are adorable! Perfect for my small desk plants. Good quality ceramic, exactly as shown.",positive,0.85,low,budget_conscious,low,5
6,2.23,Channel Islands,"Reusable Foldable Shopping Bags, Eco-friendly","Bought 6 reusable bags at $2.23 apiece. They're strong, fold up small, and perfect for groceries. Practical and eco-friendly!",positive,0.8,low,budget_conscious,low,5
3,0.96,France,"Pack of AA Alkaline Batteries, 4-count","Needed batteries, so I picked up 3 packs for $0.96 each. They work well and are a good backup to have. Decent power for the price.",positive,0.65,low,budget_conscious,low,4
24,2.98,Australia,"Colorful Gel Pens Set, Fine Point, 12-pack","Purchased 24 sets of these gel pens, priced at $2.98 each. Colors are vibrant and they write smoothly. Ideal for journaling.",positive,0.8,low,bulk_buyer,low,5
4,2.03,Malta,Natural Exfoliating Loofah Sponge,"These 4 natural loofah sponges, at $2.03 each, are excellent. Provide gentle exfoliation and lather well. Great for daily use.",positive,0.85,low,budget_conscious,low,5
4,2.36,United Kingdom,"Scented Soy Wax Candle, French Lavender","Love these candles! Got 4 for $2.36 each. The lavender scent is calming and fills the room nicely. Burns evenly, lasts long.",positive,0.9,low,impulse_buyer,low,5
9,3.39,Malta,"Microfiber Cleaning Cloths, 5-pack bulk",Bought 9 packs of microfiber cloths at $3.39 per pack. Incredibly absorbent and great for streak-free cleaning. Essential for home.,positive,0.85,low,bulk_buyer,low,5
1,0.83,Poland,"Single Serve Instant Oatmeal Packet, Maple","Just grabbed one instant oatmeal packet for $0.83. Quick and easy breakfast, though I prefer buying in bulk. Good emergency snack.",neutral,0.3,low,impulse_buyer,low,3
3,1.48,Germany,"Small Hand Sanitizer Bottle, Aloe Vera","Purchased 3 hand sanitizers at $1.48 apiece. Perfect size for my bag, doesn't dry out hands. Essential for on-the-go cleanliness.",positive,0.8,low,budget_conscious,low,5
6,7.32,Germany,"Gourmet Dark Chocolate Bar, 70% Cacao","These dark chocolate bars are divine! Got 6 of them, priced at $7.32 each. Rich flavor and high quality. A perfect treat.",positive,0.95,low,premium,low,5
67,4.61,France,"Premium Black Tea Bags, 100-count box","Stocked up on 67 boxes of this premium black tea at $4.61 per box. Robust flavor, great for daily enjoyment. Highly recommend.",positive,0.9,low,bulk_buyer,low,5
-3,0.51,United Kingdom,RETURNED: Small Plastic Storage Container,"Returned 3 small plastic containers, each costing $0.51. They were too flimsy for my needs. The store handled the return well.",negative,-0.6,high,return_prone,medium,2
8,2.29,Netherlands,"Organic Gala Apples, Fresh Produce","Bought 8 of these organic apples for $2.29 each. They were crisp and delicious, perfect for snacks. Great value!",positive,0.9,low,budget_conscious,low,5
10,3.17,Austria,Premium Dark Roast Coffee Beans,Got 10 bags of coffee beans at $3.17 per bag. Excellent flavor and aroma. Will definitely repurchase this blend soon.,positive,0.95,low,premium,low,5
23,1.28,EIRE,"Soft White Dinner Rolls, Pack of 12","Purchased 23 packs of dinner rolls at $1.28 each. Always fresh and fluffy, great for family meals. Highly recommend!",positive,0.9,low,bulk_buyer,low,5
7,3.22,Italy,"Eco-Friendly Dish Soap, Lemon Scent",Picked up 7 bottles of this dish soap for $3.22 each. It cleans well and smells fantastic. A good deal for an eco product.,positive,0.8,low,budget_conscious,low,4
40,1.07,Belgium,"Classic Ballpoint Pens, Black Ink",Ordered 40 pens at $1.07 each for the office. They write smoothly and last long. Very satisfied with this bulk purchase.,positive,0.9,low,bulk_buyer,low,5
15,1.85,Netherlands,"Sparkling Mineral Water, 500ml Bottle","Got 15 bottles of sparkling water, priced at $1.85. Refreshing and a good price for the quality. Will buy again.",positive,0.85,low,bulk_buyer,low,4
30,4.66,Germany,Premium Laundry Detergent Pods,Bought 30 packs of detergent pods for $4.66 each. They clean clothes perfectly and are very convenient to use. Worth the price!,positive,0.9,low,bulk_buyer,low,5
5,3.13,United Kingdom,Artisan Sourdough Bread Loaf,"Purchased 5 loaves of sourdough at $3.13 each. Freshly baked and crusty, perfect with butter. A bit pricey but worth it.",positive,0.75,low,premium,low,4
9,3.13,Switzerland,"Gourmet Chocolate Bar, Dark Cocoa","Picked up 9 gourmet chocolate bars for $3.13 each. Rich and decadent, a real treat! Excellent quality for the price.",positive,0.9,low,premium,low,5
16,12.09,Greece,"Wireless Bluetooth Earbuds, Noise Cancelling",Ordered 16 pairs of earbuds at $12.09 each. Sound quality is decent for the price. Good for casual listening.,neutral,0.4,medium,bulk_buyer,medium,3
2,1.45,EIRE,"AA Alkaline Batteries, 4-Pack",Bought 2 packs of AA batteries for $1.45 each. They work fine and are a good backup to have. Decent deal.,neutral,0.3,low,budget_conscious,low,3
14,1.68,Channel Islands,"Organic Whole Milk, Half Gallon",Got 14 half-gallons of organic milk for $1.68 each. Always fresh and tastes great. Excellent for daily use.,positive,0.9,low,bulk_buyer,low,5
5,2.61,Italy,Stainless Steel Cleaning Spray,Purchased 5 cans of cleaner at $2.61 each. It leaves stainless steel spotless. Very effective product.,positive,0.85,low,bulk_buyer,low,4
12,8.0,USA,"Premium Olive Oil, Extra Virgin",Bought 12 bottles of olive oil for $8.00 each. High quality and great for cooking. A staple in my kitchen now.,positive,0.9,low,premium,low,5
51,5.75,United Arab Emirates,"Large Bath Towel, Absorbent Cotton","Ordered 51 bath towels for $5.75 each. Soft, absorbent, and a fantastic value for the quantity. Very pleased!",positive,0.95,low,bulk_buyer,low,5
17,1.09,United Kingdom,"Canned Diced Tomatoes, No Salt Added",Grabbed 17 cans of diced tomatoes for $1.09 each. Perfect for sauces and chili. Stocking up at this price.,positive,0.8,low,bulk_buyer,low,4
7,0.37,Sweden,"Fresh Limes, Juicy and Zesty",Bought 7 fresh limes at $0.37 each. Very juicy and perfect for drinks. Can't beat the price!,positive,0.9,low,budget_conscious,low,5
7,9.21,Norway,"Gourmet Cheese Selection, Aged Cheddar","Purchased 7 wedges of gourmet cheese for $9.21 each. Absolutely delicious and high quality. A bit expensive, but worth it.",positive,0.8,low,premium,low,4
-4,10.81,Germany,Returned - Premium Wireless Mouse,"Returned 4 wireless mice, originally $10.81 each. Not compatible with my system. Smooth return process.",negative,-0.7,high,return_prone,high,1
3,2.52,Austria,"Assorted Greeting Cards, Blank Inside",Got 3 packs of greeting cards for $2.52 each. Nice designs and good quality paper. Always handy to have on hand.,positive,0.7,low,impulse_buyer,low,4
9,0.32,Netherlands,"9 units of Everyday Paper Clips, Standard Size","Got 9 units of paper clips for $0.32. They work well for organizing documents. Great value, highly recommend for office use!",positive,0.8,low,budget_conscious,low,5
5,9.89,Poland,"5 Premium Organic Coffee Beans, 12oz Bag","Purchased 5 bags of coffee beans for $9.89 each. The aroma is fantastic, taste is rich and smooth. Definitely a premium product, worth it!",positive,0.9,low,premium,low,5
11,0.42,Sweden,"11 Small Craft Buttons, Assorted Colors","Got 11 small craft buttons for $0.42. Perfect for my DIY projects, nice assorted colors. Great bargain, very happy!",positive,0.85,low,budget_conscious,low,5
4,11.24,Italy,"4 Luxury Scented Candles, Lavender Bliss","Got 4 luxury candles for $11.24 each. Lavender bliss scent is calming and fills the room. Pricey, but worth the indulgence!",positive,0.7,low,premium,low,4
10,1.27,Netherlands,"10 Gel Pens, Black Ink, Smooth Writing","Got 10 gel pens for $1.27 each. Write very smoothly, ink is consistent. Excellent value for everyday use, happy!",positive,0.8,low,budget_conscious,low,5
19,6.22,Italy,"19 Organic Cotton T-Shirts, Unisex Large","Got 19 organic cotton t-shirts for $6.22 each. Soft, comfortable, holds up well. Great quality for the price!",positive,0.85,low,bulk_buyer,low,5
5,2.85,United Arab Emirates,"5 Gourmet Dark Chocolate Bars, 70% Cacao","Ordered 5 dark chocolate bars for $2.85 each. Rich flavor, not too sweet. Perfect for a treat. Excellent quality!",positive,0.85,low,premium,low,5
-1,7.56,United Kingdom,Returned 1 Premium Wireless Mouse,"Returned 1 wireless mouse for $7.56. Didn't connect reliably. Return was smooth, but product disappointing.",negative,-0.7,high,return_prone,high,1
16,1.57,Sweden,16 Eco-Friendly Reusable Shopping Bags,"Bought 16 reusable bags for $1.57 each. Sturdy, spacious, great for environment. Excellent value, recommend!",positive,0.9,low,bulk_buyer,low,5
25,3.73,Belgium,"25 Premium Art Pencils, Assorted Hardness","Got 25 art pencils for $3.73 each. Great for sketching, glide smoothly. Good quality, very happy!",positive,0.85,low,bulk_buyer,low,5
3,2.09,Malta,"3 Mini LED Flashlights, Keychain Attach","Got 3 mini flashlights for $2.09 each. Bright, perfect for keychain. Great little gadgets, very useful!",positive,0.8,low,budget_conscious,low,5
-2,3.51,EIRE,Returned 2 Smart Home Plugs,"Returned 2 smart home plugs for $3.51 each. Difficult to set up, constantly disconnected. Very disappointing performance.",negative,-0.9,high,return_prone,high,1
15,9.7,Italy,15 High-Quality Stainless Steel Water Bottles,"Got 15 water bottles for $9.70 each. Excellent quality, keep drinks cold, durable. Highly recommend!",positive,0.9,low,bulk_buyer,low,5
4,0.88,EIRE,"4 Colorful Rubber Bands, Large Size","Got 4 large rubber bands for $0.88. Strong and stretchy, perfect for keeping things together. Great value!",positive,0.8,low,budget_conscious,low,5
37,8.86,Netherlands,"37 Premium Quality AA Batteries, Long-Lasting","Purchased 37 AA batteries for $8.86 each. Last significantly longer. Excellent performance, worth it!",positive,0.9,low,bulk_buyer,low,5
7,2.18,France,"7 Organic Herbal Tea Bags, Chamomile Blend","Got 7 packs of herbal tea for $2.18 each. Chamomile blend is soothing, helps me relax. Great quality, highly recommend!",positive,0.85,low,premium,low,5
9,3.11,Portugal,9 Durable Microfiber Cleaning Cloths,"Got 9 microfiber cloths for $3.11 each. Excellent for cleaning, absorb spills. Durable, machine washable, great!",positive,0.85,low,bulk_buyer,low,5
30,2.12,EIRE,"30 Assorted Color Ballpoint Pens, Bulk Pack","Got 30 ballpoint pens for $2.12 each. Write smoothly, great colors. Perfect for school, excellent value!",positive,0.85,low,bulk_buyer,low,5
8,2.81,Channel Islands,"8 Organic Fruit & Nut Snack Bars, Mixed Flavors","Ordered 8 snack bars for $2.81 each. Delicious, healthy, perfect for quick energy. Great flavors!",positive,0.85,low,premium,low,5
14,1.35,Spain,"14 Premium Quality Erasers, Smudge-Free","Bought 14 erasers for $1.35 each. Erase cleanly, smudge-free. Fantastic for art. Excellent quality, recommend!",positive,0.9,low,bulk_buyer,low,5
-3,8.82,United Kingdom,"Return: 3 units of Premium Coffee Beans, $8.82 each.","Had to return 3 units of coffee beans. The price of $8.82 per unit was good, but not what I needed.",negative,-0.6,high,return_prone,high,1
9,5.45,Greece,"Purchase: 9 Organic Apples, fresh produce, priced at $5.45 each.","Bought 9 organic apples for $5.45 each. They were crisp and delicious, perfect for snacks.",positive,0.8,low,impulse_buyer,low,5
13,7.0,France,"Order: 13 cans of Premium Tuna in Olive Oil, value $7.00 per can.","Excellent quality tuna! I purchased 13 cans at $7.00 each. A great pantry staple, highly recommended.",positive,0.9,low,premium,low,5
16,5.04,France,"Bought 16 boxes of Cereal Bars, healthy snack, only $5.04 per unit.",These cereal bars are fantastic! I grabbed 16 boxes for $5.04 each. My kids love them for breakfast.,positive,0.85,low,bulk_buyer,low,5
10,8.42,USA,"Transaction: 10 bottles of Sparkling Water, refreshing, $8.42 each.","The sparkling water is quite good. I bought 10 bottles, each costing $8.42. A bit pricey but worth it.",positive,0.6,low,premium,low,4
16,1.66,Netherlands,"Acquisition: 16 packets of Instant Noodles, quick meal, $1.66 each.","Stocked up on 16 packets of instant noodles at $1.66 a piece. Perfect for a quick, budget-friendly meal.",positive,0.7,low,budget_conscious,low,4
23,11.74,United Kingdom,"Sale: 23 units of Gourmet Cheese, artisan selection, $11.74 per unit.","Splurged on 23 units of gourmet cheese, each costing $11.74. Absolutely delicious and high quality.",positive,0.95,low,premium,low,5
11,0.81,Netherlands,"Purchase: 11 packs of Chewing Gum, various flavors, $0.81 each.","Needed some gum, so I bought 11 packs at $0.81 each. Good selection of flavors and great value.",positive,0.7,low,budget_conscious,low,4
6,1.52,Netherlands,"Order: 6 cans of Soft Drink, classic cola flavor, $1.52 per can.",Got 6 cans of my favorite soft drink for $1.52 each. Always a refreshing treat on a hot day.,positive,0.75,low,impulse_buyer,low,4
49,12.74,Malta,"Transaction: 49 Premium Steak Cuts, prime quality, $12.74 per cut.",Huge order of 49 steak cuts at $12.74 each! Fantastic quality for our BBQ event. Everyone loved it.,positive,0.95,low,bulk_buyer,low,5
-3,8.26,United Kingdom,"Return: 3 units of Organic Milk, due to damaged packaging, $8.26 each.","Had to return 3 cartons of organic milk. They arrived damaged, even though the $8.26 price was fair.",negative,-0.7,high,return_prone,high,1
10,3.64,Belgium,"Purchase: 10 bags of Potato Chips, family size, cost $3.64 per bag.",Bought 10 bags of potato chips for $3.64 each. Perfect for movie night with the family.,positive,0.7,low,bulk_buyer,low,4
6,1.23,Channel Islands,"Acquisition: 6 boxes of Paper Tissues, soft & strong, $1.23 per box.","Stocked up on 6 boxes of tissues at $1.23 each. They're soft and durable, great for cold season.",positive,0.75,low,budget_conscious,low,4
27,2.89,Bahrain,"Order: 27 rolls of Toilet Paper, ultra soft, priced at $2.89 per roll.","Got 27 rolls of toilet paper for $2.89 each. Excellent value and very soft, will definitely repurchase.",positive,0.9,low,bulk_buyer,low,5
8,5.76,Netherlands,"Sale: 8 bottles of Hand Soap, lavender scent, $5.76 per bottle.",Purchased 8 bottles of hand soap at $5.76 each. The lavender scent is lovely and it feels moisturizing.,positive,0.75,low,impulse_buyer,low,4
53,0.0,Switzerland,"Transaction: 53 promotional keychains, complimentary item, $0.00 each.","Received 53 complimentary keychains with my order. They were free at $0.00 each, a nice bonus!",positive,0.8,low,bulk_buyer,low,5
1,5.19,United Kingdom,"Purchase: 1 unit of Gourmet Chocolate Bar, premium quality, $5.19.","Just bought 1 gourmet chocolate bar for $5.19. It was incredibly rich and satisfying, a perfect treat.",positive,0.9,low,impulse_buyer,low,5
11,4.22,Poland,"Order: 11 boxes of Herbal Tea Bags, calming blend, $4.22 per box.",Great tea! I ordered 11 boxes at $4.22 each. The calming blend is perfect before bed. Very soothing.,positive,0.85,low,bulk_buyer,low,5
7,2.56,Denmark,"Acquisition: 7 packs of AA Batteries, long-lasting, $2.56 per pack.",Bought 7 packs of AA batteries for $2.56 each. They seem to last a long time in my devices.,positive,0.6,low,budget_conscious,low,4
12,6.24,Belgium,"Sale: 12 bottles of Orange Juice, fresh squeezed, $6.24 per bottle.",Love this orange juice! Picked up 12 bottles at $6.24 each. Always tastes fresh and delicious.,positive,0.9,low,bulk_buyer,low,5
52,3.69,Italy,Bulk Pack of Premium Organic Coffee Beans,"Bought 52 units at $3.69 each. Excellent value! Coffee is fresh, aromatic. Perfect for my morning. Very satisfied.",positive,0.9,low,bulk_buyer,low,5
2,2.59,Channel Islands,"Soft Grip Ergonomic Pen Set, Black Ink","Bought 2 pens for $2.59 each. They write smoothly, but the grip feels a bit cheap. Decent for the price, not exceptional.",neutral,0.1,medium,budget_conscious,medium,3
6,2.76,Sweden,Assorted Color Craft Paper Pack (A4 size),"Got 6 packs for $2.76 each. Good variety of colors, perfect for kids' school projects. Quality is standard, as expected.",positive,0.6,low,budget_conscious,low,4
-1,0.76,United Kingdom,Return: Small Stainless Steel Keychain,"Returned 1 keychain bought for $0.76. It broke on the first day, very flimsy. Disappointed with the quality and durability.",negative,-0.9,high,return_prone,high,1
13,11.69,Norway,"Premium Organic Cotton T-Shirts, White (Men's)","Ordered 13 shirts at $11.69 each. Soft and comfortable cotton. Great fit, excellent quality. Very happy with this purchase.",positive,0.9,low,premium,low,5
3,3.47,Malta,"Eco-Friendly Reusable Shopping Bags, Large","Purchased 3 bags for $3.47 each. Sturdy and hold a lot. Good for groceries, helps reduce plastic waste. Very practical.",positive,0.8,low,budget_conscious,low,5
8,8.14,Greece,Wireless Bluetooth Earbuds with Charging Case,"Got 8 sets at $8.14 each. Sound quality decent for the price. Connectivity is good, but battery life could be better.",neutral,0.2,medium,budget_conscious,medium,3
0,7.42,Channel Islands,Online Order for Digital eBook 'The Future',No quantity purchased. This digital ebook was listed at $7.42. It seems to have been removed from the catalog now.,neutral,0.0,medium,impulse_buyer,medium,3
3,6.18,Channel Islands,"Stainless Steel Water Bottle, 750ml, Blue","Bought 3 bottles for $6.18 each. Keeps water cold for hours! Durable, leak-proof, great for gym. Excellent value.",positive,0.9,low,budget_conscious,low,5
21,17.44,France,Premium Ceramic Dinner Plates (Set of 4),"Ordered 21 sets for $17.44 each. Beautiful and sturdy, perfect for entertaining. Arrived well-packaged. Very happy!",positive,0.9,low,premium,low,5
6,0.0,Austria,Promotional Free Sample: Hydrating Face Mask,Received 6 free samples of the hydrating face mask. Left my skin feeling soft and refreshed. Great way to try new products!,positive,0.8,low,impulse_buyer,low,5
11,1.77,France,Colorful Kids' Building Blocks Set (50 pieces),Got 11 sets for $1.77 each. Kids love them! Bright colors and good size for little hands. Very good value.,positive,0.8,low,budget_conscious,low,5
61,4.49,RSA,"Bulk Pack of AA Alkaline Batteries, Long-Lasting","Purchased 61 packs at $4.49 each. Always need batteries, these are reliable. Good bulk price. Very satisfied.",positive,0.8,low,bulk_buyer,low,5
0,5.19,Channel Islands,Pre-order for 'Celestial Odyssey' Video Game,No quantity purchased. This video game was listed at $5.19 for pre-order. I'm waiting for reviews before buying.,neutral,0.0,medium,impulse_buyer,medium,3
6,11.54,Sweden,"Artisan Scented Candles, Lavender & Vanilla","Bought 6 candles for $11.54 each. Lovely scent, not overpowering. Burns evenly, fills the room with relaxing aroma.",positive,0.8,low,premium,low,5
3,0.61,Netherlands,Small Pack of Assorted Rubber Bands,"Purchased 3 packs at $0.61 each. Just what I needed for organizing small items. Simple and effective, can't complain.",positive,0.6,low,budget_conscious,low,4
4,12.79,France,"High-Speed USB 3.0 Flash Drive, 64GB","Got 4 flash drives for $12.79 each. Fast transfer speeds, reliable. Great for backing up important files. Highly recommend.",positive,0.9,low,premium,low,5
12,2.92,Portugal,"Classic Cotton Hand Towels (Set of 2), Grey",Bought 12 sets for $2.92 each. Good absorbency and soft texture. Perfect for guest bathrooms. Excellent value.,positive,0.8,low,budget_conscious,low,5
